epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1058.45,0.68831,0.50093,0.8903,0.86094,0.81996,0.8379,0.60783,0.88355,0.70303,0.97,0.000478762,0.000478762,0.000478762
74,1071.31,0.63982,0.47232,0.87434,0.79414,0.81297,0.81006,0.57803,0.89987,0.76769,0.9831,0.000462259,0.000462259,0.000462259
75,1084.29,0.66794,0.48238,0.8877,0.77545,0.80066,0.8104,0.57791,0.93441,0.7421,1.01232,0.000445756,0.000445756,0.000445756
76,1096.96,0.6826,0.48193,0.90155,0.81442,0.81025,0.83152,0.59414,0.9418,0.68995,1.00759,0.000429253,0.000429253,0.000429253
77,1109.93,0.66144,0.48534,0.87755,0.82837,0.78922,0.8331,0.58377,0.93341,0.70696,0.9967,0.000412749,0.000412749,0.000412749
78,1124.08,0.63296,0.49067,0.88853,0.879,0.79507,0.84673,0.59745,0.92101,0.71252,0.98041,0.000396246,0.000396246,0.000396246
79,1136.67,0.63653,0.46574,0.872,0.88961,0.77178,0.82725,0.60161,0.90446,0.71258,0.97016,0.000379743,0.000379743,0.000379743
80,1149.81,0.64547,0.46974,0.89176,0.8793,0.80284,0.8346,0.60112,0.9057,0.68527,0.98537,0.000363239,0.000363239,0.000363239
81,1162.77,0.6105,0.44939,0.86842,0.85249,0.75891,0.82957,0.60159,0.89135,0.677,0.98466,0.000346736,0.000346736,0.000346736
82,1176.91,0.62564,0.44264,0.86943,0.82765,0.77451,0.83614,0.61539,0.87644,0.67376,0.96176,0.000330233,0.000330233,0.000330233
83,1191.88,0.63275,0.44865,0.86243,0.84652,0.74919,0.81833,0.60121,0.87949,0.70409,0.96958,0.000313729,0.000313729,0.000313729
84,1205.78,0.60163,0.43623,0.85951,0.80388,0.77164,0.79707,0.5958,0.90765,0.74367,0.98037,0.000297226,0.000297226,0.000297226
